extraction_row_id,source_page,raw_part_number,raw_designation,evidence_snippet,validation_status,review_decision_active,corrected_part_number,corrected_designation,rationale
681a2042-2a68-452f-abfa-de3bff331f3a,2,"HAMMEL Recyclingtechnik GmbH","","HAMMEL Recyclingtechnik GmbH",NEEDS_REVIEW,"","","",""
a5335a7d-66c6-4790-84c1-8a98529205e4,3,"","3 / 31","3 / 31",REJECTED,"","","",""
9b20822b-3de7-4fc7-90b1-2dcf19958bcc,3,"Antriebseinheit / Drive unit","","Antriebseinheit / Drive unit",NEEDS_REVIEW,"","","",""
d7998adf-e604-4d52-98f8-eeeb2db7b645,3,"3. Antriebseinheit / Drive unit","","3. Antriebseinheit / Drive unit",NEEDS_REVIEW,"","","",""
548ae68a-02b0-4f2f-ad6e-702e1c94904e,3,"Antriebsstrang Danfoss / Drive train Danfoss","","Antriebsstrang Danfoss / Drive train Danfoss",NEEDS_REVIEW,"","","",""
2605792c-06e7-42da-9ae5-4df55395d353,3,"Typ / Zeichnungsnr. Type / Drawing no.","","Typ / Zeichnungsnr. Type / Drawing no.",NEEDS_REVIEW,"","","",""
7dc6af27-8784-434a-97c8-84179991bac1,3,"Bemerkung / Seriennummer Comment / serial number","","Bemerkung / Seriennummer Comment / serial number",NEEDS_REVIEW,"","","",""
4de83452-cb5f-45de-adb1-f6a982b928e4,3,"Antriebsmotor Drive engine","","Antriebsmotor Drive engine",NEEDS_REVIEW,"","","",""
e3270596-fa1b-44e1-98c0-b5d9bbb2a95e,3,"1 811","","1 811",REJECTED,"","","",""
7aae9cb8-356a-4529-bdcb-7d7b61fff2a4,3,"Kupplung Motor-Pumpe","","Kupplung Motor-Pumpe",NEEDS_REVIEW,"","","",""
ae5e7a12-898a-4f54-a897-2e90f83c5144,3,"CF-K-200-11-64319","","CF-K-200-11-64319",NEEDS_REVIEW,"","","",""
f847d1d2-8dea-4e9e-9160-d965dc513423,3,"Coupling engine-pump","","Coupling engine-pump",NEEDS_REVIEW,"","","",""
3f260f60-e251-4073-8e4f-c0874865cfff,3,"Pumpenflansch Pump flange","","Pumpenflansch Pump flange",NEEDS_REVIEW,"","","",""
d23e27d2-1e8d-49d9-9377-5dc34308c214,3,"0752 02 15 00 01 1","","0752 02 15 00 01 1",NEEDS_REVIEW,"","","",""
5b093785-44f0-4572-a91e-aa8b6ccf197f,3,"4.1","","4.1",REJECTED,"","","",""
8e07e705-2712-466a-971e-316e43febae8,3,"17515 Axialkolbenverstellpumpe","","17515 Axialkolbenverstellpumpe",NEEDS_REVIEW,"","","",""
617aa42d-de69-4320-ab43-084b5ce46cc6,3,"H1 P 147 R","","H1 P 147 R",REJECTED,"","","",""
5970591f-1895-4a35-80c3-ea55c7acb1db,3,"Axial piston variable displace- 83098150 ment pump","","Axial piston variable displace- 83098150 ment pump",NEEDS_REVIEW,"","","",""
